169822:   ./client --iterations 10000
   Address Perm   Offset Device   Inode  Size   Rss  Pss Referenced Anonymous LazyFree ShmemPmdMapped FilePmdMapped Shared_Hugetlb Private_Hugetlb Swap SwapPss Locked THPeligible Mapping
5560410000 r-xp 00000000  b3:07 1198306    28    28   28         28         0        0              0             0              0               0    0       0      0           0 client
5560426000 r--p 00006000  b3:07 1198306     4     4    4          4         4        0              0             0              0               0    0       0      0           0 client
5560427000 rw-p 00007000  b3:07 1198306     4     4    4          4         4        0              0             0              0               0    0       0      0           0 client
7facdbe000 r--p 0001b000  b3:07  919788     4     4    4          4         4        0              0             0              0               0    0       0      0           0 librtmp.so.1
7facdbf000 rw-p 0001c000  b3:07  919788     4     4    4          4         4        0              0             0              0               0    0       0      0           0 librtmp.so.1
7facdc0000 r-xp 00000000  b3:07  919774   120    48   24         48         0        0              0             0              0               0    0       0      0           0 libidn2.so.0.3.7
7facdde000 ---p 0001e000  b3:07  919774    64     0    0          0         0        0              0             0              0               0    0       0      0           0 libidn2.so.0.3.7
7facdee000 r--p 0001e000  b3:07  919774     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libidn2.so.0.3.7
7facdef000 rw-p 0001f000  b3:07  919774     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libidn2.so.0.3.7
7facdf0000 r-xp 00000000  b3:07  919464   160    64   40         64         0        0              0             0              0               0    0       0      0           0 libnghttp2.so.14.20.1
7face18000 ---p 00028000  b3:07  919464    60     0    0          0         0        0              0             0              0               0    0       0      0           0 libnghttp2.so.14.20.1
7face27000 r--p 00027000  b3:07  919464    12    12   12         12        12        0              0             0              0               0    0       0      0           0 libnghttp2.so.14.20.1
7face2a000 rw-p 0002a000  b3:07  919464     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libnghttp2.so.14.20.1
7face2b000 r-xp 00000000  b3:07  920020  1396  1164   31       1164         0        0              0             0              0               0    0       0      0           0 libc-2.31.so
7facf88000 ---p 0015d000  b3:07  920020    64     0    0          0         0        0              0             0              0               0    0       0      0           0 libc-2.31.so
