Latency (ms), Latency (clock ticks)
57.836000,57836.000000
57.154000,57154.000000
57.294000,57294.000000
57.229000,57229.000000
57.352000,57352.000000
57.928000,57928.000000
57.319000,57319.000000
57.569000,57569.000000
57.949000,57949.000000
57.165000,57165.000000
57.064000,57064.000000
56.880000,56880.000000
56.971000,56971.000000
57.497000,57497.000000
57.390000,57390.000000
57.050000,57050.000000
56.871000,56871.000000
57.011000,57011.000000
57.495000,57495.000000
57.016000,57016.000000
57.275000,57275.000000
57.473000,57473.000000
59.256000,59256.000000
57.878000,57878.000000
57.399000,57399.000000
56.927000,56927.000000
57.144000,57144.000000
76.734000,76734.000000
61.210000,61210.000000
57.212000,57212.000000
57.290000,57290.000000
56.973000,56973.000000
57.056000,57056.000000
57.056000,57056.000000
57.356000,57356.000000
57.161000,57161.000000
57.457000,57457.000000
57.885000,57885.000000
57.108000,57108.000000
56.964000,56964.000000
56.988000,56988.000000
56.979000,56979.000000
57.073000,57073.000000
57.478000,57478.000000
57.036000,57036.000000
57.296000,57296.000000
57.120000,57120.000000
57.251000,57251.000000
58.077000,58077.000000
57.784000,57784.000000
57.493000,57493.000000
57.221000,57221.000000
57.051000,57051.000000
57.192000,57192.000000
57.115000,57115.000000
57.290000,57290.000000
57.351000,57351.000000
57.262000,57262.000000
57.710000,57710.000000
57.175000,57175.000000
57.128000,57128.000000
57.235000,57235.000000
57.589000,57589.000000
57.690000,57690.000000
57.194000,57194.000000
57.399000,57399.000000
57.759000,57759.000000
57.143000,57143.000000
57.534000,57534.000000
57.247000,57247.000000
57.262000,57262.000000
57.888000,57888.000000
57.114000,57114.000000
57.245000,57245.000000
58.321000,58321.000000
57.220000,57220.000000
57.130000,57130.000000
57.851000,57851.000000
57.090000,57090.000000
57.877000,57877.000000
57.272000,57272.000000
57.241000,57241.000000
57.361000,57361.000000
57.169000,57169.000000
57.938000,57938.000000
57.430000,57430.000000
57.302000,57302.000000
57.527000,57527.000000
57.224000,57224.000000
57.215000,57215.000000
57.384000,57384.000000
57.270000,57270.000000
57.668000,57668.000000
57.419000,57419.000000
57.192000,57192.000000
58.219000,58219.000000
88.863000,88863.000000
57.436000,57436.000000
57.363000,57363.000000
57.183000,57183.000000
57.797000,57797.000000
58.086000,58086.000000
57.264000,57264.000000
57.431000,57431.000000
57.351000,57351.000000
57.169000,57169.000000
57.240000,57240.000000
57.150000,57150.000000
57.057000,57057.000000
57.458000,57458.000000
57.665000,57665.000000
57.360000,57360.000000
57.028000,57028.000000
57.563000,57563.000000
57.241000,57241.000000
57.159000,57159.000000
57.816000,57816.000000
57.481000,57481.000000
57.172000,57172.000000
57.347000,57347.000000
57.071000,57071.000000
57.075000,57075.000000
57.116000,57116.000000
57.214000,57214.000000
57.658000,57658.000000
57.214000,57214.000000
57.119000,57119.000000
57.195000,57195.000000
57.113000,57113.000000
57.267000,57267.000000
57.393000,57393.000000
57.191000,57191.000000
57.042000,57042.000000
57.105000,57105.000000
57.197000,57197.000000
57.251000,57251.000000
57.196000,57196.000000
57.635000,57635.000000
57.105000,57105.000000
57.124000,57124.000000
57.138000,57138.000000
57.561000,57561.000000
